Spot #,Position 1,Position 2,Pot Type,Hand,Board
477,UTG,HJ,SRP,KhKs,7h5c8s2sJh
478,SB,CO,SRP,JdTd,6h4d9h8cTs
479,HJ,SB,4BP,KcTc,5d2dQc8c9c
480,HJ,UTG,SRP,Ac5c,5h7s8s3c6d
481,CO,SB,SRP,Th9h,5s9s3d4c2h
482,BB,HJ,SRP,5s4s,2cQhQsKdAh
483,SB,BB,SRP,2c2s,8d9dKd5h3d
484,BTN,SB,SRP,6s6d,Ks8c8hAd8d
485,BTN,BB,SRP,5s5d,8h2dQs4h3c
486,SB,CO,3BP,JhTh,Qc6c7d7sKs
487,BB,SB,SRP,6h4h,2dJd2h2sTh
488,UTG,BB,SRP,7s7c,As5d8s9s2c
489,BTN,SB,SRP,9c6c,7d6s9s2s7c
490,BB,HJ,SRP,7c7h,3sJs9cQcKc
491,BTN,UTG,SRP,AhTh,Js8h9s2c7s
492,CO,BB,SRP,9d9c,2s6c7d8h4h
493,UTG,BTN,SRP,JcTc,5c7hAhThKs
494,BB,BTN,4BP,KhQh,5cAdAcQsKs
495,BTN,SB,SRP,As8d,3h7h8c6d9d
496,CO,BTN,3BP,TdTc,8d9h3s4cAs
497,BB,SB,SRP,Ah4h,Ad4sKd8s4c
498,UTG,BB,SRP,QsTs,7hJd6d4h7s
499,HJ,BB,4BP,KcTc,QcJdKd3d5c
500,BTN,UTG,SRP,7s7d,8c8hJd5dTh
501,BB,BTN,4BP,TcTh,Qh7sJs9sTd
502,CO,BB,SRP,6d6s,4s7s3sJc2d
503,BTN,HJ,SRP,AsQs,Qh7c9s4c2h
504,UTG,BB,SRP,QcQd,8d9cQsJhAs
505,BTN,BB,3BP,Ac9c,As8sKc7s7d
506,BTN,BB,SRP,7s7c,9hQcKcAsQh
507,UTG,BB,SRP,Ah4h,9h5cTh8d6c
508,CO,BB,3BP,AhTh,TsAd3d2sJs
509,HJ,BTN,SRP,Kc9c,Kh3d4d5s4c
510,BB,CO,3BP,JcTc,7s5s2h4hTh
511,BTN,UTG,SRP,KcJc,QcAcTs2s6d
512,BTN,CO,3BP,Qh9h,Qd9cJh9d4s
513,SB,BB,3BP,KsJs,3cKhTh5d2s
514,HJ,SB,SRP,Ah5h,4d6h7h3sKs
515,HJ,BB,3BP,AsKd,Ts7h5dAh7d
516,BTN,BB,3BP,7h7s,8sQsTc5h9s
517,CO,BB,SRP,6c7c,3h2s8cQh5h
518,UTG,BTN,SRP,Kh8h,5dThKsJd2h
519,HJ,BB,3BP,AdKd,5hQd5d2cTh
520,BB,HJ,3BP,QcQs,9s5h7s3c4c
521,UTG,BTN,SRP,KdQc,3d3h8cQh8d
522,SB,CO,SRP,AsQh,Qc9c9d9hJd
523,HJ,SB,SRP,Ad4d,Qs4hJdAh7h
524,CO,BB,3BP,7d7s,3d2h8h4d6d
525,UTG,BB,SRP,Ah3h,7c7s7dKdAc
526,CO,UTG,SRP,As5s,6h8dAc9c5c
527,CO,BTN,3BP,8h8s,3dTd6c9sTc
528,BTN,BB,SRP,KhQh,8h4hKs9h6c
529,SB,BTN,3BP,As5s,6sQhJcAd7c
530,SB,BTN,SRP,Ah4h,2s8cJh9c6s
531,BB,BTN,SRP,Kd8d,KsJd2cTd8c
532,BTN,HJ,3BP,KsKc,4d3s2c9sJh
533,CO,BB,3BP,AcTc,8cKs7s5h4c
534,BTN,BB,3BP,5s4s,3h8dTs2s5c
535,SB,BTN,SRP,Ts9s,KhTd9hAs3c
536,BB,BTN,SRP,As7h,3sJh6dJc8c
537,BTN,HJ,SRP,7s7c,Th3c3hKc3s
538,CO,SB,SRP,Qd9d,4dJdJc3h7c
539,HJ,UTG,SRP,KsTs,JcAdTc4d9s
540,BB,SB,SRP,7d5d,6c5s9c2cJd
541,BB,UTG,SRP,5d3d,Ah5hTd7dQc
542,SB,BTN,SRP,5h5d,Jc2hQsKd9h
543,BTN,BB,SRP,QsJd,Ad4sAs9h2d
544,CO,HJ,3BP,AcJc,6cAh3dKsQh
545,BB,BTN,4BP,ThTd,Ah4d8s5s9c
546,CO,BB,SRP,4c4s,Kc5dKd7d8s
547,BB,BTN,3BP,5s4s,6dJdTdKd4c
548,BTN,HJ,SRP,TdTc,Kd4c2c2hTh
549,CO,BTN,SRP,JsTs,Qh6h8dJc6s
550,BTN,CO,3BP,QsJs,4s3sQc7c3c
551,HJ,BTN,SRP,As3s,3dAcTd4hQc
552,BB,SB,SRP,Jc6c,5d4cKhTcJd
553,UTG,BTN,SRP,KdQd,5sAs6d5hKc
554,BB,SB,SRP,Ad7d,3c5c9cAh2d
555,SB,BB,SRP,Ks8s,Kc7dAcJd4c
556,BTN,BB,SRP,Qd7d,KcKd2d2h5d
557,SB,UTG,4BP,AhJh,QdJsKc8s2d
558,CO,BB,SRP,7c7s,6d3h6h9d2s
559,BTN,BB,SRP,Td7d,AdQh7c7s2h
560,CO,BTN,SRP,As5s,Qh2h6sTs2s
561,BTN,HJ,3BP,Th9h,3hQs4d6c9c
562,HJ,BB,SRP,Kd7d,9d6s5s3h4c
563,SB,BTN,SRP,7h6h,6c9h9s5cAh
564,BTN,SB,SRP,Ah4h,9hKhQh5hAs
565,HJ,SB,SRP,AsAh,5cJsJdQsTd
566,BTN,SB,3BP,Ad8d,7c2cTs5s3h
567,CO,BB,SRP,8s8c,7d5c9d5hTc
568,SB,CO,SRP,Td9d,Qd7hQs8s9h
569,BB,BTN,SRP,Th9c,TcKd6h2s2d
570,BTN,BB,3BP,8c8d,7d9h2sTd3h
571,BTN,SB,SRP,Qs5s,5dJs6cKhTs
572,CO,BTN,3BP,5s5d,3s3dKd5hAh
573,SB,CO,3BP,TcTs,Jc4h4sTh4c
574,SB,BTN,SRP,QcTc,3hQs3cAs5c
575,CO,SB,3BP,KsQs,6s7s7hAhJd
576,HJ,CO,3BP,TsTh,JsTc8sKcJc
577,BB,SB,SRP,Jd9d,JcJh4c8d2s
578,BTN,SB,SRP,9s9c,2d7s9h4s4c
579,BTN,BB,SRP,Kd8d,6c8h3s4h7c
580,BB,UTG,SRP,Th8h,Ah8c2hKsTd
581,UTG,CO,SRP,AsKs,ThQcKh3h5c
582,UTG,BTN,SRP,ThTc,4s5dKh9dKc
583,CO,SB,SRP,Ah9h,4c7s3h2d6d
584,BTN,BB,4BP,AsJs,Jh5c9c7d6d
585,CO,BB,SRP,KdJs,Ks6sJhAc7h
586,SB,BTN,3BP,AcQc,2dTc2sTs7s
587,BB,BTN,3BP,AhKd,5h3c9d3h7h
588,BB,CO,3BP,Jc9c,Qh4sKc2s2d
589,BB,SB,SRP,KhJc,5c2sJh4s3d
590,BTN,BB,SRP,Qc4c,4sQd5c5s4d
591,BB,HJ,4BP,Tc9c,Jd7d8dAhQd
592,BTN,BB,3BP,QsJs,5dJcQdAhJd
593,BTN,BB,SRP,Ad2d,Kd9d9h5sTs
594,UTG,BB,SRP,KdQs,8h5dQd3c6s
595,CO,BTN,SRP,Qs9s,Qh9h6hKhAd
596,BB,HJ,SRP,Td7d,Kd6d7s3s8c
597,UTG,HJ,SRP,AhTh,4h8d7c2sAd
598,UTG,CO,SRP,6d5d,AsAd6s5h3h
599,BB,SB,SRP,Ts7s,5c7h5d7dTc
600,CO,BB,SRP,Kd7d,As8s8h2c6h
601,SB,BTN,SRP,8s7s,2h6d8h7dJh
602,BTN,CO,3BP,Jc9c,Td6dAc6c2s
603,BB,BTN,4BP,TcTs,9dQhTdAcQc
604,HJ,UTG,3BP,AhAd,Jh6d4hJc8d
605,BTN,BB,3BP,Jc9c,8h7h4s6d6c
606,HJ,BTN,SRP,AdKh,4sQd2c9c5s
607,BB,UTG,SRP,6s6d,Kh4d4sAd2d
608,UTG,BB,SRP,Ac6c,3hQs3c6hQh
609,SB,BB,SRP,8s5s,7d6c7h8d9s
610,SB,BTN,4BP,8s8d,JdTd9s8cQc
611,BB,CO,4BP,Ts9s,4c5d7d9hAc
612,CO,BB,SRP,Kc6c,9c6s3h2s8s
613,BTN,CO,3BP,AsKh,JsQs2hAd5s
614,CO,SB,SRP,AdKc,QcJs9sAs7h
615,BB,HJ,3BP,Ah5h,9s6c5c2s4c
616,BTN,HJ,SRP,KcQc,QsJc8h8d7c
617,SB,BTN,3BP,Ad4d,4c4hQc3h4s
618,HJ,UTG,SRP,AdTd,TcAh5c3h3c
619,HJ,BTN,SRP,Kd9d,3sTc3c3hJs
620,SB,BTN,3BP,KcTc,JcQh9sAdQc
621,CO,BTN,3BP,7d7c,4hKhQh8hJh
622,SB,BB,SRP,KhJh,Kd5h3cKs4d
623,SB,CO,3BP,9h9d,Qh7c2dQs3c
624,SB,BB,4BP,JsJh,Th5dKh2c5c
625,BB,CO,4BP,JcTc,5d9s4s2h2d
626,SB,BTN,SRP,AdTd,Tc2cJc8cQh
627,BB,BTN,SRP,AcTs,5sTc6s2s7c
628,BB,CO,4BP,AsQs,Jh7hThKh3s
629,SB,BB,SRP,Td9d,Ac5d9hThJc
630,BB,BTN,4BP,Tc9c,4d9d6s3dTs
631,BTN,BB,3BP,Kc8c,5sTc4d5d4c
632,BTN,BB,SRP,2d2s,As9d3s5s6d
633,BTN,UTG,SRP,JsJd,8dAc8s3hAh
634,BTN,BB,3BP,6s6d,Jd4d6cKdQc
635,BTN,HJ,SRP,KhQh,3c6d4sTs8c
636,HJ,BTN,SRP,QsJh,TdQcAd4h2s
637,BTN,HJ,3BP,As4s,Ks7dQc3sAd
638,HJ,CO,3BP,JcJh,9cKc6s3h4s
639,SB,CO,3BP,6s5s,Qs7cAs7d6h
640,CO,BB,SRP,KhQh,Qd4hAh4c6s
641,CO,SB,SRP,Kh6h,2d2h7hKc8s
642,BTN,HJ,3BP,Ts9s,9dQs7d4hQc
643,CO,BB,SRP,Ac9s,2d8h3c7sKd
644,BB,CO,3BP,AsAd,2d5s8s3dAc
645,BB,BTN,3BP,Ts9s,Kh7sKd2h5d
646,BTN,BB,SRP,Tc9c,Ks6c7dAsTs
647,CO,BTN,SRP,4d4s,7c7h4hQd3c
648,SB,BTN,3BP,7s7h,2c4cJcAc2s
649,CO,BTN,4BP,KcTc,8sAc8cAh9h
650,SB,BB,SRP,AdJs,Jh2h5d2d6s
651,SB,BTN,SRP,Ah5h,9dTdTc8s2d
652,BB,CO,3BP,Js9s,2d8s6h5hKh
653,BTN,UTG,SRP,AcJc,2h3cKsKd9d
654,BTN,CO,3BP,JsTs,TcJd6c9cAh
655,BTN,CO,3BP,Qh9h,6c3c4s9d2c
656,UTG,CO,SRP,KdQd,Td6cAc9dQh
657,BTN,BB,3BP,Ah4h,5dKs7d7hQh
658,SB,BB,3BP,Ah5h,2s8d5c7d3h
659,BB,CO,3BP,AcAd,4s9d6h8dJh
660,BB,HJ,SRP,7h6h,JcKc4c3c4s
661,SB,BTN,SRP,JhJs,8cQs3dTd3h
662,BB,CO,4BP,AdQd,5c9h6d4d7s
663,UTG,BTN,SRP,6d6s,2d3s6c7h5d
664,UTG,CO,SRP,9c9s,2sJs7h2cTd
665,UTG,HJ,SRP,Ks9s,Js8cQsJd9h
666,BB,BTN,3BP,Ad5c,3d4c8d3s6c
667,HJ,BB,4BP,AhAd,Js2sKcTc3h
668,BB,SB,SRP,KsTd,Qc3h5s6h5h
669,BB,CO,3BP,6h5h,4d9sKc9dJh
670,CO,SB,SRP,Qc8c,JhKcAc2h6s
671,SB,BTN,SRP,7d7s,Ad2dTdKd4d
672,SB,BB,SRP,4s4h,As9dJsKs3h
673,BTN,CO,3BP,QcJc,JsAs7hKd5h
674,BB,SB,3BP,Kh9s,3hKs7sKd6c
675,UTG,BB,SRP,6c5c,6hJh7dAh2d
676,BTN,BB,SRP,7c6c,2c2h6d3cTs
677,HJ,UTG,SRP,AhTh,4h8c7c6c9d
678,BB,BTN,3BP,JsTs,4c5sTc2c5h
679,BTN,BB,SRP,Tc8c,AdQh3sJc7c
680,SB,BTN,3BP,QdJd,3hKd6c6sTd
681,CO,UTG,SRP,AhQh,Ks8d2s3c6c
682,SB,CO,SRP,QsQh,Tc3s5h6sTh
683,BTN,BB,SRP,Ah2h,4d8c2dAs5c
684,CO,BB,SRP,5h5d,4d8s8hKs3h
685,BB,SB,3BP,6d5d,8h8dJc3dJh
686,CO,SB,3BP,9d9c,TdJh6c7h6h
687,BB,HJ,SRP,Ad7d,4s3c2d2sTd
688,UTG,CO,SRP,Th9h,9s2sJdQsAd
689,BB,UTG,4BP,QcQh,TsKs6s2hQs
690,UTG,BTN,SRP,QdQh,9s5cKhKs8h
691,BB,CO,3BP,JcTc,Ad3h9h4c6h
692,CO,UTG,SRP,AhQh,4c2d3c5dQd
693,SB,BB,SRP,Jc9c,Qc7s7c7hAs
694,BB,SB,SRP,QdJd,8c6sJsQcKd
695,BTN,BB,3BP,KdTd,Ac5s4h3s6h
696,BTN,BB,3BP,KcQh,Jc6d2h5hJs
697,BB,HJ,SRP,5h5c,7s6s6cKdQh
698,UTG,BB,SRP,6d5d,Kc9d2c7s5h
699,BTN,HJ,SRP,AhTh,6d3s8s4hQh
700,BB,BTN,SRP,AcTc,3s9s7d2c2h
701,HJ,UTG,3BP,AdQd,7cKs8s8c5s
702,BB,HJ,SRP,2c2h,Js7cAc3hKs
703,SB,BTN,SRP,QdTd,6d6sJh3c4s
704,BTN,CO,4BP,AcAd,AhKd3h3s3c
705,CO,UTG,SRP,TdTc,Ad4dAs6c9c
706,CO,BB,3BP,6s7s,8d2dAsQc2s
707,SB,BB,4BP,Ah3h,Qs2hQc4h6d
708,CO,BB,3BP,JsJh,5sAc5cJc5d
709,HJ,BB,SRP,AcJs,2dJd6c6hQs
710,SB,BTN,SRP,4s4h,8s4dQcTh8h
711,SB,BTN,SRP,QsJs,Ts2c7sQhJh
712,BTN,SB,SRP,9d7d,Ah5d4dThKs
713,UTG,HJ,SRP,JhTh,Ad5c9sAs7h
714,HJ,BB,3BP,TcTd,Qc3s5cQd7s
715,CO,BTN,3BP,6c6h,Qh3sTd6sAc
716,HJ,BB,SRP,AhJc,Jd2hKd9c2d
717,BTN,BB,SRP,KsQs,9d8d5c6h3d
718,HJ,UTG,SRP,KsTs,2s9c7c6dAh
719,HJ,CO,3BP,6h5h,7hJcAs7d8c
720,HJ,BTN,3BP,TsTc,Qs8s4cAdKs
721,HJ,SB,SRP,KsJs,3h2dJh6d9d
722,BTN,SB,3BP,AhJh,4c5h6cQdQc
723,HJ,BB,SRP,KhQh,2s9s7h5cQc
724,BB,BTN,SRP,Ac7s,9s3c9dTsKc
725,HJ,UTG,SRP,Ad4d,Ks2d5c5hKd
726,SB,BB,SRP,6h6s,4hAsJh4c8d
727,BTN,BB,SRP,KcTd,AsJhTs4d5s
728,CO,SB,SRP,KsJs,Qh9hTc4dKc
729,SB,BTN,SRP,KhTh,7h9hTdTs6h
730,HJ,BB,SRP,JhTh,3cKs7sKh5d
731,BTN,SB,3BP,JsJh,Kh9c5dQhJd
732,CO,HJ,3BP,As5s,4h3dQd8h5h
733,HJ,BTN,3BP,Td9d,6c8sKdKs9s
734,CO,UTG,SRP,9s9d,7sTd2c8h6c
735,BB,SB,SRP,Ts6s,8s4h5c2h7s
736,BTN,HJ,3BP,Th9h,4sQd9c9sQs
737,SB,BB,SRP,Kd8s,4dKc4hAh3s
738,SB,CO,SRP,JsTs,KdJd5cQs6h
739,HJ,BTN,3BP,KhQh,7c3c7sTcQd
740,BTN,BB,SRP,Th9h,Qs6hJsAd9s
741,HJ,BB,SRP,QsTs,TcKdQh4hQc
742,UTG,BTN,SRP,6h6c,Ah5c8dAdQh
743,BB,BTN,3BP,TcTh,5sTs4dTd5h
744,SB,BTN,SRP,TdTc,TsKd9c3cTh
745,BTN,SB,SRP,KcTs,9sQcKh5d5h
746,BB,UTG,SRP,8s7s,Kd9d3hQhAc
747,HJ,UTG,SRP,99,Ts8cKh9d9h
748,BTN,SB,SRP,Ah4h,ThKsQc3s7s
749,UTG,BB,SRP,Ac6c,7c8dThQdKc
750,BB,CO,3BP,Ac3c,QsTcJs4c5d
751,BTN,SB,SRP,Kc8h,Qh4h6c5d6h
752,UTG,BB,SRP,AdQh,2dJd5c4hJh
753,CO,BTN,3BP,TsTh,7sKs9dQsAh
754,HJ,UTG,SRP,AhQc,7s3sKcTcAd
755,BB,SB,3BP,JsJc,9hQd9cJh2d
756,BB,BTN,4BP,AhQh,Kd4c4d7cJc
757,CO,BB,SRP,KcJc,AcJd6d5hQc
758,SB,BTN,SRP,KsQs,4sQd2cTs2h
759,HJ,SB,SRP,Tc9c,9h7s6hTs5s
760,SB,CO,SRP,AdTd,6dAhAc5d9d
761,SB,CO,SRP,TsTc,TdQh5hKcTh
762,CO,UTG,SRP,TcTd,5sAh2cQh5d
763,UTG,BB,SRP,KcJc,KsJsJhThJd
764,CO,UTG,SRP,AhTh,JsTdAc4d6c
765,BB,CO,4BP,AhKh,9h6cQs2hQh
766,BTN,BB,SRP,Ad7h,9d7s3dJs8c
767,UTG,BTN,SRP,KhQh,3cAs2c9c9d
768,HJ,BB,4BP,KhTh,Ah6sQh3cJs
769,SB,BB,SRP,Kc6c,JhKdJd4sAs
770,CO,BTN,SRP,AdQd,5hAc3h9cAs
771,HJ,SB,SRP,Kh9h,7sQd4dTc4c
772,SB,BTN,3BP,6s5s,Ts5c5h2cJs
773,BB,SB,3BP,5h4h,Kh8s8cQc8h
774,BTN,BB,3BP,9c8c,9h9dAc3d8d
775,BTN,SB,4BP,AsAc,9sKd7cTh7s
776,CO,BB,SRP,AcKh,7h9cTh4s7c
777,UTG,HJ,SRP,AdKc,AhKh2d5c5h
778,UTG,CO,SRP,ThTs,2c9sKd8s2h
779,SB,CO,4BP,AdKd,5s8cJc5hTs
780,BTN,CO,4BP,AdKd,7hJc6hQhKc
781,CO,SB,SRP,AdQc,9h5c3d8d7d
782,BB,UTG,SRP,Ah2h,9c7sTdAcJh
783,BB,BTN,4BP,ThTd,7hQs6s2c5h
784,BB,HJ,SRP,AsQs,8s5sAc5c2h
785,SB,HJ,3BP,KsJs,5s3sKh9dKd
786,BB,SB,SRP,Kd3d,9h9s9cQsTs
787,UTG,HJ,SRP,KcKh,Js7h7cQc7s
788,CO,SB,SRP,Qh9h,6hQs6d2dQd
789,BB,HJ,4BP,QsQh,6d4hAd7hAs
790,BTN,BB,SRP,Js9s,Ts5dAhJhTh
791,HJ,SB,SRP,7d7c,Td2hQd7hKh
792,BB,HJ,SRP,4s4c,5s8s8c5cQd
793,SB,CO,SRP,8s8c,4h2hQd7c6s
794,HJ,BTN,3BP,9s9d,3dQh9hKc9c
795,SB,BB,SRP,8h6h,2c5c7s4s9c
796,BB,SB,SRP,KsQh,4dJh3s4s2s
797,BB,SB,SRP,Jd9d,8d7s9c6hQd
798,CO,BB,SRP,6s7s,AcQsAhAdTh
799,UTG,HJ,SRP,AcQc,Qd8cTc9hKc
800,SB,BB,SRP,As8s,JcKdAdAh9h
801,CO,BTN,3BP,Ad5d,Ah6cJs5h3s
802,CO,BB,4BP,Ks9s,7h9d3c8h7c
803,BB,UTG,SRP,4s4c,Kd6dAs8hTs
804,BTN,BB,SRP,3h3d,Kd4h4dJc8s
805,BTN,UTG,SRP,JcJs,2sJhKcTs6d
806,UTG,CO,SRP,9h9c,8d9dQdKhAd
807,BTN,CO,3BP,7d6d,7c9dTd2s4h
808,BB,SB,3BP,Jh4h,9h3s7h5s6c
809,UTG,HJ,SRP,AhTs,5dJcTh8hKc
810,CO,BB,3BP,5d5s,JsQs9s7s7d
811,CO,HJ,3BP,TcTs,QsKs2h6c2s
812,SB,BB,SRP,AhKh,Qs6cAdQhKd
813,UTG,CO,SRP,Ac5c,2s3c2h6h5d
814,BB,UTG,SRP,TdTh,5c8s8hJs6c
815,HJ,BB,SRP,AdTd,6cAhJc5sJd
816,BTN,UTG,SRP,AhTh,7sAcAs9c2c
817,CO,BB,SRP,8d8c,9c6d2hAh8h
818,HJ,UTG,4BP,AsJs,8h5c4c6hQc
819,SB,CO,SRP,QsJs,Ad2s9c6cTs
820,SB,BB,SRP,9c8c,6cJsKd8h8s
821,SB,CO,3BP,KcQc,TcTd7d8s3h
822,SB,CO,SRP,QdJd,4c8s2d7s9d
823,SB,BTN,3BP,KsQd,Jh7hThQhTs
824,CO,BB,SRP,AcAd,Qc3h9s8s2c
825,CO,BB,SRP,Qh7h,9h4hKh8d2h
826,SB,BB,3BP,Jc8c,9d7h7cAcKh
827,UTG,HJ,SRP,QhJh,QsJdKh5h4c
828,HJ,BB,SRP,Kc8c,6h4s5d9d5h
829,BB,BTN,SRP,Qs4s,QdJc6d3hKh
830,BTN,SB,SRP,Qs5s,9d7dTd9sKd
831,HJ,UTG,SRP,AhQd,3s6c5c9hKd
832,UTG,CO,SRP,Ac9c,6sThQdKhQs
833,CO,BB,SRP,AcKc,2d5s9d3d6h
834,BTN,SB,SRP,Ah9h,8h3s3d4hAs
835,BTN,SB,SRP,Ah8s,KsTcAs5cJd
836,BTN,CO,3BP,As2s,JhAd4hTh7c
837,CO,BTN,SRP,AsJc,5s3h4sKs6d
838,UTG,HJ,3BP,AhQh,Ac8s7s3s8c
839,BB,BTN,SRP,QsTs,9dKh7d4h5c
840,BB,SB,SRP,AdJc,4d9dJdTd4h
841,HJ,BB,SRP,8s8c,JcQh8hTcKd
842,SB,BTN,SRP,9d9h,2sAc6c8s7s
843,CO,BTN,4BP,AsTs,Js6d6h4hKc
844,CO,SB,3BP,ThTc,Td8h4h2c9h
845,UTG,CO,SRP,Ah9h,Tc5d9c5sJc
846,CO,UTG,SRP,KhQh,5hKdQsAd7h
847,CO,BB,SRP,AdJd,Qh5d4d5c3s
848,UTG,HJ,SRP,JsJd,4s9cAcKs9s
849,BTN,BB,SRP,JdTc,8s5h9c6sKs
850,UTG,BB,SRP,JcTc,Ks9dAhKh2h
851,BTN,CO,3BP,Ac6c,3c9sQsTcAh
852,BTN,CO,3BP,KsKd,7d5hAs2h3h
853,BTN,BB,SRP,Qc4c,3c6s9dKs8c
854,BTN,SB,3BP,KhJh,6dKcAs6c7c
855,BTN,UTG,SRP,AcQh,4hAd5dKcJc
856,BTN,SB,SRP,Qc9h,TcAs6dJd8s
857,BTN,BB,SRP,Ts9s,4d4s5dJdJh
858,CO,BB,SRP,KcQd,9s2cKdJhAs
859,HJ,SB,SRP,AdJc,5s7h8hJs4c
860,BB,BTN,SRP,Qd2d,QhJdAcKd5s
861,BTN,SB,3BP,AcTc,Qs4h3d4sQh
862,BB,BTN,3BP,TcTs,AhAc6h8c4s
863,BTN,BB,SRP,7s7d,9h7c4sTd5c
864,BB,BTN,3BP,JdTd,7c8c8s2s9d
865,HJ,BB,SRP,6h5h,7c7d4sQsKc
866,SB,CO,3BP,Ac5c,Kd4cJh4h5d
867,BTN,BB,SRP,Ac2c,AsJc3hAdTc
868,CO,BTN,SRP,QdJs,3dTs4c2h6c
869,BTN,CO,3BP,KhKc,Tc4hJh4d2d
870,HJ,SB,SRP,AsTs,7d4dKcQhJh
871,BB,UTG,SRP,JhTh,8sJc3sTdAc
872,HJ,BB,SRP,AdTd,4h9dAcKhTc
873,HJ,SB,SRP,KdTc,JdAsQh4hKc
874,UTG,BB,SRP,As8s,2h5d7s4s4c
875,BB,SB,3BP,Jd9d,JhQd9cTdKs
876,SB,BB,SRP,8d8h,AdTd3s7cJc
877,UTG,CO,SRP,Ad6d,TsTh6c4h5d
878,HJ,CO,3BP,9h9d,Qs5sJs3s5c
879,BTN,BB,3BP,JhJc,8hThQsAh9c
880,BTN,SB,SRP,9h6h,8sAhAs3c5s
881,BTN,BB,4BP,KcKs,6d5h2c3c8h
882,UTG,HJ,SRP,6h6d,6c9c4h7s2d
883,UTG,HJ,3BP,6h6c,6sQdAhKhJh
884,BTN,BB,SRP,Ad9s,2dAsQh9h9d
885,UTG,CO,SRP,AsJh,Js6h6dAc2h
886,BTN,CO,3BP,6c5c,QcTc7d6sAc
887,SB,BTN,SRP,AdTd,JcQs2c6s2h
888,BB,SB,SRP,Ks4s,Kd2d8d9d9c
889,SB,BTN,SRP,AcJc,Jh3cKs5hAs
890,SB,BTN,4BP,6s6h,8s3dKc3sQh
891,BTN,CO,3BP,Ah6h,JhAd6c6s5s
892,BB,BTN,3BP,AsKd,JcQs4hAd9c
893,BB,CO,3BP,6c5c,3hKs3s6h6s
894,BB,BTN,SRP,7h5h,Ts9dTc3s2h
895,BTN,SB,SRP,Td9c,2d2c5s7h3h
896,SB,BTN,4BP,6s6c,8d4c9d8cQs
897,SB,BB,SRP,AdJd,Jc5h9c4cJs
898,BB,UTG,SRP,Ks9s,JdThKh3h6d
899,CO,HJ,3BP,Ah5h,9sTh6dQs6h
900,SB,BB,SRP,AdQc,AhKdQd6h4h
901,HJ,BTN,SRP,Kc9c,QdKsAd8sJc
902,BTN,SB,SRP,Qh9c,QdKc8hJh5c
903,CO,BTN,3BP,8h8c,2s5s3sKs8d
904,BB,SB,SRP,QcJc,7hQsTdTc5c
905,BB,CO,3BP,Ad3d,8h6c6hKh8d
906,CO,UTG,SRP,AhTh,4h4d9cTcAs
907,UTG,CO,SRP,AcQh,8dJcJh2d7c
908,BB,BTN,3BP,QhQd,3c3dJs7sKc
909,SB,BB,SRP,Ah2s,Th6s6d3hJd
910,UTG,HJ,SRP,Ac9c,Ah2s4hAs2h
911,BTN,UTG,SRP,QdTd,2sQh6h3d9c
912,UTG,HJ,SRP,Kd8d,6s8sQc7h4c
913,UTG,HJ,4BP,KhQh,7c5dJcAs9d
914,CO,BB,SRP,QcJd,Jh8s6d5d4h
915,UTG,BB,SRP,Td9d,TcAd6sKd4c
916,SB,BTN,4BP,AsQs,9d8s5c4cTh
917,HJ,BB,SRP,Js9s,Ts7d8c2c5h
918,BB,UTG,SRP,8h7h,2dTs4dKhQd
919,BTN,CO,3BP,6h5h,JhQhTcAdAh
920,HJ,BB,4BP,KhTh,Qc4c4sQd8s
921,BB,BTN,SRP,Tc9h,6s7dQcTsKs
922,UTG,BB,SRP,Kd6d,Ks3sTd5d5s
923,CO,UTG,SRP,AsQh,3s3hQsJh3d
924,SB,BB,SRP,QcJh,AsKd9hQdKs
925,BTN,SB,SRP,AcQh,Kh9s9h2dTc
926,BTN,SB,SRP,8h8s,9cJhKs9d3s
927,CO,SB,SRP,As7s,9d2c4hAd9s
928,BTN,UTG,SRP,AsQh,Qd5sThAd3c
929,BB,UTG,SRP,6h6d,JcQs3s4dAc
930,SB,HJ,4BP,AhJh,6s5sKd6d7s
931,CO,HJ,3BP,KdQs,Jc5d5cAc9s
932,HJ,BB,SRP,Jd9d,7hTc7d8c8d
933,BB,CO,3BP,KcKd,3s7cJhQc7d
934,HJ,SB,SRP,6h5h,5d8cQsJdAh
935,CO,SB,SRP,Qc6c,QdQs3c8s4s
936,UTG,HJ,SRP,AdTs,9d3h4hJsJh
937,BB,BTN,SRP,Ks9h,6s6dTcKd7d
938,UTG,CO,SRP,Ac7c,AhJsQcJh8s
939,BTN,UTG,SRP,8h8c,9d9cJc5d3s
940,HJ,BTN,3BP,AhJh,9cKcKsTh3h
941,BTN,BB,SRP,AsKd,6s8s2sJs2d
942,BTN,BB,SRP,KhJs,6dKdTdQc9d
943,HJ,CO,3BP,8c8s,3cTsTc8h3h
944,HJ,SB,SRP,Tc8c,5dQc9cKsTs
945,BB,SB,3BP,5h4h,3d4c9sAh2d
946,CO,UTG,SRP,KhQh,8sKc6c7s9c
947,HJ,BB,SRP,QcQh,8sKs4cAcJc
948,BB,HJ,3BP,Ah4h,6dQs2c3h5h
949,BB,SB,3BP,JsJc,Jh7d2hKhTd
950,BTN,HJ,3BP,Td9d,Th7c5h5c2c
951,HJ,UTG,3BP,9h9d,As5d5s4c4s
952,UTG,SB,3BP,8s8d,KhQs3h8cAd
953,CO,SB,4BP,KsKh,2c6d7c7hKd
